,movie_title,opening_gross,screens
0,10 Days in a Madhouse ,2451,10
1,10 Things I Hate About You ,8330681,2271
2,102 Dalmatians ,19883351,2704
3,12 Rounds ,5329240,2331
4,12 Years a Slave ,923715,19
5,127 Hours ,264851,4
6,13 Going on 30 ,21054238,3438
7,1408 ,20617667,2678
8,15 Minutes ,10523154,2337
9,16 Blocks ,11855260,2706
10,17 Again ,23722310,3255
11,2 Guns ,27059130,3025
12,2012 ,65237614,3404
13,2046 ,113074,4
14,21 & Over ,8754168,2771
15,21 Grams ,274454,8
16,21 Jump Street ,36302612,3121
17,21 ,24105943,2648
18,22 Jump Street ,57071445,3306
19,27 Dresses ,27442040,3057
20,28 Days ,10310672,2523
21,28 Weeks Later ,9807292,2303
22,3 Days to Kill ,12242218,2872
23,3:10 to Yuma ,14035033,2652
24,30 Days of Night ,15951902,2855
25,30 Minutes or Less ,13330118,2888
26,300: Rise of an Empire ,45038460,3470
27,3000 Miles to Graceland ,7160521,2545
28,300 ,70885301,
29,40 Days and 40 Nights ,12229529,2225
30,42 ,27487144,3003
31,47 Ronin ,9869000,2689
32,5 Days of War ,6254,2
33,50 First Dates ,45107871,3591
34,54 ,6611532,1859
35,8 Mile ,51240555,2470
36,88 Minutes ,6957216,2168
37,8MM ,14252888,2370
38,9 ,10740446,1661
39,A Beautiful Mind ,2501096,524
40,A Bug's Life ,33258052,2686
41,A Christmas Carol ,30051075,3683
42,A Cinderella Story ,13623350,2625
43,A Civil Action ,15163484,1802
44,A Dangerous Method ,167953,4
45,A Good Day to Die Hard ,24834845,3553
46,A Good Year ,3721526,2066
47,A Guy Thing ,8006232,2515
48,A History of Violence ,515992,14
49,A Knight's Tale ,16511391,2980
50,A Lot Like Love ,7576593,2502
51,A Madea Christmas ,16000000,2194
52,A Man Apart ,11019224,2459
53,A Mighty Heart ,3948863,1355
54,A Million Ways to Die in the West ,17069000,3158
55,A Most Violent Year ,1512224,818
56,A Most Wanted Man ,2717000,361
57,A Night at the Roxbury ,9604791,1865
58,A Perfect Getaway ,5948555,2159
59,A Scanner Darkly ,391672,
60,A Simple Plan ,3422072,660
61,A Simple Wish ,2732880,1676
62,A Sound of Thunder ,1190791,816
63,A Thousand Words ,6176280,1890
64,A Time to Kill ,19630000,2123
65,A Very Harold & Kumar 3D Christmas ,12954142,2875
66,A Very Long Engagement ,101749,4
67,A Walk Among the Tombstones ,12758780,2712
68,A Walk on the Moon ,78709,7
69,A Walk to Remember ,12177488,2411
70,A.I. Artificial Intelligence ,29352630,3242
71,Abandon ,5064077,2341
72,Abduction ,10925253,3118
73,About a Boy ,8557630,1207
74,About Last Night ,27838201,2253
75,About Schmidt ,282367,6
76,About Time ,1076250,175
77,Abraham Lincoln: Vampire Hunter ,16306974,3108
78,Absolute Power ,16770220,2568
79,Across the Universe ,3824988,954
80,Act of Valor ,10121,12
81,Adaptation. ,384478,7
82,Admission ,6154984,2160
83,After Earth ,27520040,3401
84,After the Sunset ,11100392,2819
85,Against the Ropes ,3038546,1601
86,Agent Cody Banks 2: Destination London ,8014005,2973
87,Agent Cody Banks ,14064317,3369
88,Air Force One ,37132505,2919
89,Alex & Emma ,6111074,2310
90,Alex Cross ,11396768,2339
91,Alex Rider: Operation Stormbreaker ,215177,221
92,"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",18360230,3088
93,Alexander ,13687087,2445
94,Alfie ,6218335,2215
95,Alice Through the Looking Glass ,28112000,3763
96,Alien: Resurrection ,16474092,2415
97,Aliens in the Attic ,8008423,3106
98,Aliens vs. Predator: Requiem ,13655306,2611
99,Ali ,10216625,2446
100,All About Steve ,14058106,2251
101,All About the Benjamins ,10007291,1505
102,All Good Things ,37172,2
103,All the King's Men ,3672366,1514
104,All the Pretty Horses ,4860556,1548
105,All the Queen's Men ,15026,17
106,Almost Famous ,2314646,131
107,Aloha ,9670235,2815
108,Alone in the Dark ,2834421,2124
109,Along Came a Spider ,16712407,2530
110,Along Came Polly ,32450825,2984
111,Alpha and Omega ,9106906,2625
112,Alvin and the Chipmunks: Chipwrecked ,23244744,3723
113,Alvin and the Chipmunks: The Road Chip ,14287159,3653
114,Alvin and the Chipmunks: The Squeakquel ,48875415,3700
115,Alvin and the Chipmunks ,44307417,3475
116,Amen. ,16284,5
117,America's Sweethearts ,30181877,3011
118,American Beauty ,861531,16
119,American Dreamz ,3667420,1500
120,American Gangster ,43565135,3054
121,American Hustle ,740455,6
122,American Outlaws ,4855475,2348
123,American Pie 2 ,45117985,3063
124,American Pie ,18709680,2508
125,American Reunion ,21514080,3192
126,American Sniper ,89269067,3555
127,American Wedding ,33369440,3172
128,Amistad ,4661866,322
129,An American Carol ,3656000,1639
130,An American Haunting ,5783508,1680
131,An Ideal Husband ,198802,
132,An Unfinished Life ,1008308,139
133,Anacondas: The Hunt for the Blood Orchid ,12812287,2905
134,Anaconda ,16620887,2456
135,Analyze That ,11034422,2635
136,Analyze This ,18383507,2518
137,Anastasia ,204350,200
138,Anchorman 2: The Legend Continues ,26232425,3507
139,Anchorman: The Legend of Ron Burgundy ,28416365,3091
140,And So It Goes ,4552000,1762
141,Angel Eyes ,9225575,2375
142,Angela's Ashes ,54628,6
143,Angels & Demons ,46204168,3527
144,Anna and the King ,5223416,2132
145,Anna Karenina ,320690,16
146,Annie ,15861939,3116
147,Anonymous ,1012768,265
148,Ant-Man ,57225526,3856
149,Antitrust ,5486209,2433
150,Antwone Fisher ,210013,15
151,Antz ,17195160,2449
152,Any Given Sunday ,13584625,2505
153,Anything Else ,1673125,1033
154,Anywhere But Here ,5607137,1672
155,Apocalypto ,15005604,
156,Appaloosa ,248847,14
157,Ararat ,211130,6
158,Arbitrage ,2002165,197
159,Are We There Yet? ,18575214,2709
160,Argo ,19458109,3232
161,Arlington Road ,7515145,1631
162,Armageddon ,36089972,3127
163,Armored ,6511128,1915
164,Arthur Christmas ,12068931,3376
165,As Good as It Gets ,12606928,1572
166,Assault on Precinct 13 ,6502724,2297
167,Asterix at the Olympic Games ,,
168,Astro Boy ,6702923,3014
169,At First Sight ,8444321,1814
170,Atlantis: The Lost Empire ,329011,2
171,ATL ,11554404,
172,Atonement ,796836,32
173,Attack the Block ,137580,8
174,August Rush ,9421369,2310
175,Austin Powers in Goldmember ,73071188,3613
176,Austin Powers: International Man of Mystery ,9548111,2187
