,movie_title,color,language,country,genres,content_rating,plot_keywords,director_name,actor_1_name,actor_2_name,actor_3_name
0,Avatar ,Color,English,USA,Action|Adventure|Fantasy|Sci-Fi,PG-13,avatar|future|marine|native|paraplegic,James Cameron,CCH Pounder,Joel David Moore,Wes Studi
1,Pirates of the Caribbean: At World's End ,Color,English,USA,Action|Adventure|Fantasy,PG-13,goddess|marriage ceremony|marriage proposal|pirate|singapore,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport
2,Spectre ,Color,English,UK,Action|Adventure|Thriller,PG-13,bomb|espionage|sequel|spy|terrorist,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman
3,The Dark Knight Rises ,Color,English,USA,Action|Thriller,PG-13,deception|imprisonment|lawlessness|police officer|terrorist plot,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt
4,Star Wars: Episode VII - The Force Awakens             ,,,,Documentary,,,Doug Walker,Doug Walker,Rob Walker,
5,John Carter ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,alien|american civil war|male nipple|mars|princess,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker
6,Spider-Man 3 ,Color,English,USA,Action|Adventure|Romance,PG-13,sandman|spider man|symbiote|venom|villain,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst
7,Tangled ,Color,English,USA,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,PG,17th century|based on fairy tale|disney|flower|tower,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey
8,Avengers: Age of Ultron ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson
9,Harry Potter and the Half-Blood Prince ,Color,English,UK,Adventure|Family|Fantasy|Mystery,PG,blood|book|love|potion|professor,David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint
10,Batman v Superman: Dawn of Justice ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,based on comic book|batman|sequel to a reboot|superhero|superman,Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin
11,Superman Returns ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,crystal|epic|lex luthor|lois lane|return to earth,Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella
12,Quantum of Solace ,Color,English,UK,Action|Adventure,PG-13,action hero|attempted rape|bond girl|official james bond series|revenge,Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear
13,Pirates of the Caribbean: Dead Man's Chest ,Color,English,USA,Action|Adventure|Fantasy,PG-13,box office hit|giant squid|heart|liar's dice|monster,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport
14,The Lone Ranger ,Color,English,USA,Action|Adventure|Western,PG-13,horse|outlaw|texas|texas ranger|train,Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson
15,Man of Steel ,Color,English,USA,Action|Adventure|Fantasy|Sci-Fi,PG-13,based on comic book|british actor playing american character|final battle|origin of hero|reboot,Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix
16,The Chronicles of Narnia: Prince Caspian ,Color,English,USA,Action|Adventure|Family|Fantasy,PG,brother brother relationship|brother sister relationship|good versus evil|king|narnia,Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar
17,The Avengers ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,alien invasion|assassin|battle|iron man|soldier,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson
18,Pirates of the Caribbean: On Stranger Tides ,Color,English,USA,Action|Adventure|Fantasy,PG-13,blackbeard|captain|pirate|revenge|soldier,Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham
19,Men in Black 3 ,Color,English,USA,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,PG-13,alien|criminal|m.i.b.|maximum security prison|prison,Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger
20,The Hobbit: The Battle of the Five Armies ,Color,English,New Zealand,Adventure|Fantasy,PG-13,army|elf|hobbit|middle earth|orc,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt
21,The Amazing Spider-Man ,Color,English,USA,Action|Adventure|Fantasy,PG-13,lizard|outcast|spider|spider man|teenager,Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka
22,Robin Hood ,Color,English,USA,Action|Adventure|Drama|History,PG-13,1190s|archer|england|king of england|robin hood,Ridley Scott,Mark Addy,William Hurt,Scott Grimes
23,The Hobbit: The Desolation of Smaug ,Color,English,USA,Adventure|Fantasy,PG-13,dwarf|elf|lake town|mountain|sword and sorcery,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt
24,The Golden Compass ,Color,English,USA,Adventure|Family|Fantasy,PG-13,children|epic|friend|girl|quest,Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas
25,King Kong ,Color,English,New Zealand,Action|Adventure|Drama|Romance,PG-13,animal name in title|ape abducts a woman|gorilla|island|king kong,Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke
26,Titanic ,Color,English,USA,Drama|Romance,PG-13,artist|love|ship|titanic|wet,James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart
27,Captain America: Civil War ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans
28,Battleship ,Color,English,USA,Action|Adventure|Sci-Fi|Thriller,PG-13,box office flop|hawaii|naval|oahu hawaii|ship,Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano
29,Jurassic World ,Color,English,USA,Action|Adventure|Sci-Fi|Thriller,PG-13,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy
30,Skyfall ,Color,English,UK,Action|Adventure|Thriller,PG-13,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear
31,Spider-Man 2 ,Color,English,USA,Action|Adventure|Fantasy|Romance,PG-13,death|doctor|scientist|super villain|tentacle,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst
32,Iron Man 3 ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,armor|explosion|human bomb|missile attack|terrorist,Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle
33,Alice in Wonderland ,Color,English,USA,Adventure|Family|Fantasy,PG,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway
34,X-Men: The Last Stand ,Color,English,Canada,Action|Adventure|Fantasy|Sci-Fi|Thriller,PG-13,battle|mutant|outrage|walking through a wall|x men,Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore
