,movie_name,domestic_gross,movie_link,production_budget,release_date,worldwide_gross,movie_title
0,Avatar,760507625,http://www.the-numbers.com/movie/Avatar#tab=summary,425000000,12/18/2009,2783918982,Avatar 
1,Star Wars Ep. VII: The Force Awakens,936662225,http://www.the-numbers.com/movie/Star-Wars-Ep-VII-The-Force-Awakens#tab=summary,306000000,12/18/2015,2058662225,Star Wars: Episode VII - The Force Awakens             
2,Pirates of the Caribbean: At World's End,309420425,http://www.the-numbers.com/movie/Pirates-of-the-Caribbean-At-Worlds-End#tab=summary,300000000,5/24/2007,963420425,Pirates of the Caribbean: At World's End 
3,Spectre,200074175,http://www.the-numbers.com/movie/Spectre#tab=summary,300000000,11/6/2015,879620923,Spectre 
4,The Dark Knight Rises,448139099,http://www.the-numbers.com/movie/Dark-Knight-Rises-The#tab=summary,275000000,7/20/2012,1084439099,The Dark Knight Rises 
5,The Lone Ranger,89302115,http://www.the-numbers.com/movie/Lone-Ranger-The#tab=summary,275000000,7/2/2013,260002115,The Lone Ranger 
6,John Carter,73058679,http://www.the-numbers.com/movie/John-Carter-of-Mars#tab=summary,275000000,3/9/2012,282778100,John Carter 
7,Tangled,200821936,http://www.the-numbers.com/movie/Tangled#tab=summary,260000000,11/24/2010,586581936,Tangled 
8,Spider-Man 3,336530303,http://www.the-numbers.com/movie/Spider-Man-3#tab=summary,258000000,5/4/2007,890875303,Spider-Man 3 
9,Avengers: Age of Ultron,459005868,http://www.the-numbers.com/movie/Avengers-Age-of-Ultron#tab=summary,250000000,5/1/2015,1404705868,Avengers: Age of Ultron 
10,Captain America: Civil War,407264745,http://www.the-numbers.com/movie/Captain-America-Civil-War#tab=summary,250000000,5/6/2016,1150864745,Captain America: Civil War 
11,Batman v Superman: Dawn of Justice,330360194,http://www.the-numbers.com/movie/Batman-v-Superman-Dawn-of-Justice#tab=summary,250000000,3/25/2016,868160194,Batman v Superman: Dawn of Justice 
12,The Hobbit: An Unexpected Journey,303003568,http://www.the-numbers.com/movie/Hobbit-An-Unexpected-Journey-The#tab=summary,250000000,12/14/2012,1017003568,The Hobbit: An Unexpected Journey 
13,Harry Potter and the Half-Blood Prince,301959197,http://www.the-numbers.com/movie/Harry-Potter-and-the-Half-Blood-Prince#tab=summary,250000000,7/15/2009,935083686,Harry Potter and the Half-Blood Prince 
14,The Hobbit: The Desolation of Smaug,258366855,http://www.the-numbers.com/movie/Hobbit-The-Desolation-of-Smaug-The#tab=summary,250000000,12/13/2013,960366855,The Hobbit: The Desolation of Smaug 
15,The Hobbit: The Battle of the Five Armies,255119788,http://www.the-numbers.com/movie/Hobbit-The-Battle-of-the-Five-Armies-The#tab=summary,250000000,12/17/2014,955119788,The Hobbit: The Battle of the Five Armies 
