production_budget,worldwide_gross,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,budget,imdb_score,opening_gross,screens
425000000.0,2783918982.0,2009.0,1.78,178.0,4834.0,237000000.0,7.9,77025481.0,3452.0
300000000.0,963420425.0,2007.0,2.35,169.0,48350.0,300000000.0,7.1,139802190.0,4362.0
300000000.0,879620923.0,2015.0,2.35,148.0,11700.0,245000000.0,6.8,70403148.0,3929.0
275000000.0,1084439099.0,2012.0,2.35,164.0,106759.0,250000000.0,8.5,160887295.0,4404.0
275000000.0,260002115.0,2013.0,2.35,150.0,45757.0,215000000.0,6.5,29210849.0,3904.0
275000000.0,282778100.0,2012.0,2.35,132.0,1873.0,263700000.0,6.6,30180188.0,3749.0
260000000.0,586581936.0,2010.0,1.85,100.0,2036.0,260000000.0,7.8,48767052.0,3603.0
258000000.0,890875303.0,2007.0,2.35,156.0,46055.0,258000000.0,6.2,151116516.0,4252.0
258000000.0,890875303.0,2007.0,2.35,156.0,46055.0,258000000.0,6.2,151116516.0,4252.0
250000000.0,1404705868.0,2015.0,2.35,141.0,92000.0,250000000.0,7.5,191271109.0,4276.0
250000000.0,1150864745.0,2016.0,2.35,147.0,64798.0,250000000.0,8.2,179139142.0,4226.0
250000000.0,868160194.0,2016.0,2.35,183.0,24450.0,250000000.0,6.9,166007347.0,4242.0
250000000.0,1017003568.0,2012.0,2.35,182.0,9152.0,180000000.0,7.9,84617303.0,4045.0
250000000.0,935083686.0,2009.0,2.35,153.0,58753.0,250000000.0,7.5,77835727.0,4325.0
250000000.0,960366855.0,2013.0,2.35,186.0,9152.0,225000000.0,7.9,73645197.0,3903.0
250000000.0,955119788.0,2014.0,2.35,164.0,9152.0,250000000.0,7.5,54724334.0,3875.0
250000000.0,1045663875.0,2011.0,2.35,136.0,54083.0,250000000.0,6.7,90151958.0,4155.0
232000000.0,374085065.0,2006.0,2.35,169.0,29991.0,209000000.0,6.1,52535096.0,4065.0
230000000.0,591692078.0,2008.0,2.35,106.0,2023.0,200000000.0,6.7,67528882.0,3451.0
225000000.0,667999518.0,2013.0,2.35,143.0,20495.0,225000000.0,7.2,116619362.0,4207.0
